criterion,lifecycle_step,name,category,avg_electricity_consumption,description,location,level,source,tier,unit,value
WATER_USE,TRANSPORTATION,smartphone-1,Consultation,3.29,"Smartphone/ 6.59 inches display LCD, 1 CPU 101.66 mm² 12 nm lithography, 6 GB RAM, 128 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,0.019428974498664
WATER_USE,MANUFACTURING,smartphone-1,Consultation,3.29,"Smartphone/ 6.59 inches display LCD, 1 CPU 101.66 mm² 12 nm lithography, 6 GB RAM, 128 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,55.9
WATER_USE,END_OF_LIFE,smartphone-1,Consultation,3.29,"Smartphone/ 6.59 inches display LCD, 1 CPU 101.66 mm² 12 nm lithography, 6 GB RAM, 128 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,58.3
WATER_USE,USING,smartphone-2,Consultation,3.9,"Smartphone/ 6.57 inches display OLED, 1 CPU 101.66 mm² 8 nm lithography, 7 GB RAM, 160 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,0
WATER_USE,TRANSPORTATION,smartphone-2,Consultation,3.9,"Smartphone/ 6.57 inches display OLED, 1 CPU 101.66 mm² 8 nm lithography, 7 GB RAM, 160 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,0.007982446887048
WATER_USE,END_OF_LIFE,smartphone-2,Consultation,3.9,"Smartphone/ 6.57 inches display OLED, 1 CPU 101.66 mm² 8 nm lithography, 7 GB RAM, 160 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,58.2
WATER_USE,MANUFACTURING,smartphone-2,Consultation,3.9,"Smartphone/ 6.57 inches display OLED, 1 CPU 101.66 mm² 8 nm lithography, 7 GB RAM, 160 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,91
WATER_USE,USING,smartphone-3,Consultation,4.56,"Smartphone/ 6.72 inches display OLED, 1 CPU 101.66 mm² 7 nm lithography, 11 GB RAM, 341 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,0
WATER_USE,TRANSPORTATION,smartphone-3,Consultation,4.56,"Smartphone/ 6.72 inches display OLED, 1 CPU 101.66 mm² 7 nm lithography, 11 GB RAM, 341 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,0.007957344852812
WATER_USE,END_OF_LIFE,smartphone-3,Consultation,4.56,"Smartphone/ 6.72 inches display OLED, 1 CPU 101.66 mm² 7 nm lithography, 11 GB RAM, 341 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,58.3
WATER_USE,MANUFACTURING,smartphone-3,Consultation,4.56,"Smartphone/ 6.72 inches display OLED, 1 CPU 101.66 mm² 7 nm lithography, 11 GB RAM, 341 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,78.4
WATER_USE,TRANSPORTATION,Smoke detector,Non-IT electrical equipment,"",Smoke detector,,2-Equipement,NegaOctet-20220211,Datacenter,Item,0.000019864
WATER_USE,MANUFACTURING,Smoke detector,Non-IT electrical equipment,"",Smoke detector,,2-Equipement,NegaOctet-20220211,Datacenter,Item,0.152
WATER_USE,END_OF_LIFE,Smoke detector,Non-IT electrical equipment,"",Smoke detector,,2-Equipement,NegaOctet-20220211,Datacenter,Item,12.8
WATER_USE,TRANSPORTATION,smoke-detector-1,Non-IT electrical equipment,"",Smoke detector,,2-Equipement,NegaOctet-20220211,Datacenter,Item,0.000019864
WATER_USE,MANUFACTURING,smoke-detector-1,Non-IT electrical equipment,"",Smoke detector,,2-Equipement,NegaOctet-20220211,Datacenter,Item,0.152
WATER_USE,END_OF_LIFE,smoke-detector-1,Non-IT electrical equipment,"",Smoke detector,,2-Equipement,NegaOctet-20220211,Datacenter,Item,12.8
WATER_USE,TRANSPORTATION,"Solid State Drive (SSD)/ 2,5"", MLC, 1024 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", MLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005229111544
WATER_USE,END_OF_LIFE,"Solid State Drive (SSD)/ 2,5"", MLC, 1024 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", MLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,23.9
WATER_USE,MANUFACTURING,"Solid State Drive (SSD)/ 2,5"", MLC, 1024 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", MLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,60.2
WATER_USE,TRANSPORTATION,"Solid State Drive (SSD)/ 2,5"", MLC, 2048 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", MLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005447424352
WATER_USE,MANUFACTURING,"Solid State Drive (SSD)/ 2,5"", MLC, 2048 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", MLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,119
WATER_USE,END_OF_LIFE,"Solid State Drive (SSD)/ 2,5"", MLC, 2048 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", MLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,25.3
WATER_USE,TRANSPORTATION,"Solid State Drive (SSD)/ 2,5"", MLC, 256 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", MLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005073173824
WATER_USE,MANUFACTURING,"Solid State Drive (SSD)/ 2,5"", MLC, 256 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", MLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,15.9
WATER_USE,END_OF_LIFE,"Solid State Drive (SSD)/ 2,5"", MLC, 256 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", MLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,23
WATER_USE,TRANSPORTATION,"Solid State Drive (SSD)/ 2,5"", QLC, 1024 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", QLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005125153064
WATER_USE,END_OF_LIFE,"Solid State Drive (SSD)/ 2,5"", QLC, 1024 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", QLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,22.9
WATER_USE,MANUFACTURING,"Solid State Drive (SSD)/ 2,5"", QLC, 1024 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", QLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,31.5
WATER_USE,TRANSPORTATION,"Solid State Drive (SSD)/ 2,5"", QLC, 2048 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", QLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005239507392
WATER_USE,END_OF_LIFE,"Solid State Drive (SSD)/ 2,5"", QLC, 2048 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", QLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,23.1
WATER_USE,MANUFACTURING,"Solid State Drive (SSD)/ 2,5"", QLC, 2048 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", QLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,61.6
WATER_USE,TRANSPORTATION,"Solid State Drive (SSD)/ 2,5"", QLC, 256 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", QLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.0000504198628
WATER_USE,END_OF_LIFE,"Solid State Drive (SSD)/ 2,5"", QLC, 256 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", QLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,22.7
WATER_USE,MANUFACTURING,"Solid State Drive (SSD)/ 2,5"", QLC, 256 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", QLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,8.68
